id,runtime,budget,revenue,roi
51497,130,125000000,626137675,400.91013999999996
49538,132,160000000,353624124,121.0150775
24428,143,220000000,1518815515,590.3706886363636
49051,169,250000000,1021103568,308.4414272
10020,84,25000000,377350553,1409.402212
49026,165,250000000,1081041287,332.4165148
41154,106,225000000,624026776,177.34523377777776
70981,124,130000000,403170142,210.13087846153846
1930,136,215000000,757930663,252.52588976744187
82690,101,165000000,471222889,185.5896296969697
44833,131,209000000,303025485,44.98827033492823
68718,165,100000000,425368238,325.36823799999996
58595,127,170000000,396600000,133.29411764705884
37724,143,200000000,1108561013,454.28050649999994
62177,93,185000000,538983207,191.34227405405406
80321,93,145000000,746921274,415.11812
49529,132,250000000,284139100,13.65564
75780,130,60000000,218340595,263.9009916666667
49040,135,130000000,276572938,112.74841384615384
57800,88,95000000,877244782,823.4155599999999
64635,121,125000000,198802074,59.0416592
76163,103,100000000,314975955,214.97595500000003
71552,113,50000000,234989584,369.979168
59967,118,30000000,47042000,56.80666666666667
50620,115,120000000,829000000,590.8333333333334
82675,91,45000000,376141306,735.8695688888889
68734,120,44500000,232324128,422.07669213483143
62213,113,150000000,245527149,63.684766
72387,94,30000000,40346186,34.48728666666667
36586,117,54000000,155010032,187.05561481481482
82693,122,21000000,236412453,1025.7735857142857
22970,95,30000000,71041255,136.80418333333333
76492,91,85000000,358375603,321.61835647058825
51739,94,23000000,145570827,532.9166391304348
84892,103,13000000,33400000,156.92307692307693
87827,127,120000000,609016565,407.51380416666666
57165,99,150000000,301970083,101.31338866666665
81188,97,145000000,306941670,111.68391034482758
64688,109,42000000,201585328,379.96506666666664
83542,172,102000000,130482868,27.924380392156863
80278,113,45000000,198087212,340.1938044444444
62214,87,39000000,81493846,108.95857948717949
72105,107,50000000,549368315,998.73663
72545,94,79000000,355692760,350.244
97630,157,40000000,132820716,232.05179
70160,142,75000000,691210692,821.614256
83666,94,16000000,68263166,326.6447875
114150,112,17000000,115400000,578.8235294117646
77930,110,7000000,167221571,2288.8795857142854
77174,90,60000000,107139399,78.565665
52520,88,70000000,160112671,128.73238714285716
49049,95,50000000,41037742,-17.924515999999997
62764,106,85000000,183018522,115.31590823529412
77016,109,7000000,48126384,587.5197714285714
77877,101,25000000,99357138,297.428552
82507,110,3000000,82515113,2650.5037666666667
59961,115,85000000,208076205,144.79553529411763
72570,104,30000000,196114570,553.7152333333333
75174,117,25000000,77278331,209.113324
68722,137,32000000,28258060,-11.6935625
65086,95,17000000,127730736,651.3572705882353
72976,149,65000000,275293450,323.5283846153846
76493,83,65000000,179379533,175.9685123076923
76726,84,15000000,145000000,866.6666666666666
72331,94,69000000,116471580,68.79939130434782
49526,91,35000000,31083599,-11.189717142857143
77866,109,25000000,96262212,285.048848
76494,110,40000000,79700000,99.25
82633,115,26000000,53676580,106.44838461538461
59962,103,65000000,156974557,141.49931846153848
71859,113,7000000,10765283,53.78975714285714
73723,86,70000000,348840316,398.34330857142857
87502,138,31000000,161772375,421.84637096774196
64689,97,15000000,37930465,152.86976666666666
81796,95,20000000,32204030,61.020149999999994
49527,102,42000000,46221189,10.05045
94329,101,1100000,4105187,273.1988181818182
86838,110,15000000,33035736,120.23824
85446,99,33000000,140470746,325.6689272727273
82695,158,61000000,441809770,624.2783114754099
80035,102,68000000,68267862,0.3939147058823529
57214,88,12000000,100000000,733.3333333333333
81836,111,17000000,73244881,330.85224117647056
82990,88,5000000,142817992,2756.35984
82505,101,6900000,44287131,541.8424782608696
89492,134,35000000,88058786,151.59653142857144
88005,101,10000000,9636289,-3.6371100000000003
82525,131,45000000,82966152,84.36922666666666
71679,95,65000000,240159255,269.4757769230769
68721,130,200000000,1214811252,507.405626
76338,112,170000000,644571402,279.1596482352941
106646,180,100000000,392000000,292.0
49047,91,105000000,723192705,588.754957142857
49521,143,225000000,754045518,235.13134133333335
109445,102,150000000,1274219009,749.4793393333333
64686,119,175000000,150962475,-13.73572857142857
158015,86,3000000,89328627,2877.6209000000003
49524,96,130000000,61648500,-52.57807692307692
57158,161,250000000,958400000,283.36
54138,132,190000000,467365246,145.98170842105262
62211,104,200000000,743559607,271.7798035
101299,146,130000000,847423452,551.8641938461539
93456,98,76000000,970761885,1177.318269736842
138843,112,13000000,319494638,2357.651061538462
75612,124,120000000,286168572,138.47381000000001
109439,100,103000000,362000072,251.45638058252428
109451,95,78000000,248384621,218.44182179487183
107846,115,50000000,122915111,145.830222
68724,109,115000000,286140700,148.818
87421,119,38000000,98337295,158.78235526315788
136795,117,43000000,158674180,269.00972093023256
68726,131,180000000,407602906,126.44605888888889
134411,112,35000000,42930462,22.658462857142858
75656,116,75000000,351723989,368.9653186666667
134374,130,25000000,1,-99.999996
76203,134,20000000,187000000,835.0
123553,130,60000000,95396573,58.99428833333333
4258,86,20000000,78378744,291.89372
49519,98,135000000,587204668,334.9664207407408
60304,88,50000000,226349749,352.699498
152601,126,23000000,47351251,105.87500434782609
47964,98,92000000,304654182,231.14585
76285,106,90000000,199850315,122.05590555555557
80274,114,110000000,125537191,14.12471909090909
109424,134,55000000,218791811,297.8032927272727
193756,121,40000000,149295601,273.23900249999997
64682,143,105000000,351040419,234.32420857142856
7131,132,160000000,300257475,87.660921875
72559,110,130000000,371876278,186.05867538461538
146216,116,84000000,148100000,76.30952380952381
119283,118,35000000,46216641,32.04754571428571
77950,96,135000000,282570682,109.3116162962963
136400,109,61000000,131940411,116.29575573770492
59859,103,28000000,60700000,116.78571428571429
138832,110,37000000,269994119,629.7138351351351
96721,123,38000000,90247624,137.49374736842105
72190,116,200000000,531865000,165.9325
204082,100,22000000,43058898,95.72226363636364
82700,100,130000000,243843127,87.57163615384616
146233,153,46000000,122126687,165.49279782608696
122906,123,12000000,87100449,625.837075
116711,102,100000000,268426634,168.426634
117263,120,70000000,161025640,130.03662857142857
103663,116,3800000,18309793,381.83665789473685
133805,100,30000000,82394288,174.64762666666667
157386,95,2500000,6854611,174.18444
109431,111,35000000,173965010,397.0428857142857
68728,130,200000000,491868548,145.93427400000002
82654,97,35000000,116980662,234.23046285714287
109428,91,17000000,97542952,473.7820705882353
82682,113,60000000,105200903,75.33483833333334
117251,131,150000000,205366737,36.911158
97367,140,15000000,35485608,136.57072
77931,105,105000000,347434178,230.8896933333333
87818,90,6000000,32438988,440.6498
81005,114,195000000,197687603,1.3782579487179487
107985,109,20000000,46089287,130.446435
103731,130,10000000,21587700,115.87700000000001
57201,149,255000000,89289910,-64.98434901960785
168672,138,40000000,251171807,527.9295175
58244,104,60000000,22187813,-63.020311666666665
152532,117,5000000,55736588,1014.7317599999999
109443,119,50000000,173649015,247.29803
132232,100,15000000,146497771,876.6518066666666
132344,109,3000000,11176469,272.5489666666667
9352,93,25000000,20796847,-16.812611999999998
145135,97,3500000,25174316,619.2661714285714
112205,111,30000000,36894225,22.98075
72710,125,44000000,63327201,43.92545681818182
87516,104,30000000,5186767,-82.71077666666666
158011,94,13000000,68572378,427.4798307692308
109418,101,80000000,247022278,208.77784749999998
109410,128,40000000,95020213,137.5505325
109491,124,60000000,60052138,0.08689666666666666
116745,114,90000000,188133322,109.03702444444446
86825,99,12000000,12077441,0.6453416666666666
122081,94,5000000,31724284,534.48568
109414,107,32000000,126041322,293.87913125
109091,117,25000000,71009334,184.037336
86829,104,11000000,32935319,199.41199090909092
160588,99,18000000,99206215,451.1456388888889
106747,107,12000000,15008161,25.068008333333335
77987,90,4800000,10337387,115.36222916666668
147773,103,4600000,23198652,404.31852173913046
179144,142,12400000,24164400,94.8741935483871
107811,93,13000000,48065672,269.73593846153847
140823,125,35000000,112544580,221.55594285714284
68727,101,20000000,24261569,21.307845
97370,108,13300000,5735963,-56.87245864661654
109421,106,30000000,63372757,111.24252333333334
164457,116,22000000,15400000,-30.0
112949,115,28000000,97594140,248.5505
96936,90,15000000,19145732,27.638213333333333
