,genre_ids,original_title,title,release_date,movie,production_budget,domestic_gross,worldwide_gross,domestic_return,worldwide_return,domestic_return%,worldwide_return%,release_year,release_day,release_month
59,"[18, 12, 37]",True Grit,True Grit,2018-11-16,Fantastic Beasts: The Crimes of Grindelwald,200000000.0,159555901.0,652220086.0,-20.2220495,226.110043,-20.2220495,226.110043,2018,Friday,November
60,"[53, 80, 27]",I Spit on Your Grave,I Spit on Your Grave,2009-05-21,Terminator Salvation,200000000.0,125322469.0,365491792.0,-37.3387655,82.745896,-37.3387655,82.745896,2009,Thursday,May
61,"[28, 80]",Kick-Ass,Kick-Ass,2011-06-17,Green Lantern,200000000.0,116601172.0,219535492.0,-41.699414000000004,9.767745999999999,-41.699414000000004,9.767745999999999,2011,Friday,June
62,"[35, 878, 16]",Robot Chicken: Star Wars Episode III,Robot Chicken: Star Wars Episode III,2010-05-28,Prince of Persia: Sands of Time,200000000.0,90759676.0,336359676.0,-54.62016200000001,68.179838,-54.62016200000001,68.179838,2010,Friday,May
63,"[28, 9648, 53]",Salt,Salt,2011-06-29,Transformers: Dark of the Moon,195000000.0,352390543.0,1123790543.0,80.71309897435897,476.3028425641026,80.71309897435897,476.3028425641026,2011,Wednesday,June
64,"[10770, 16, 14, 10751]",Legend of the BoneKnapper Dragon,Legend of the BoneKnapper Dragon,2017-06-09,The Mummy,195000000.0,80101125.0,409953905.0,-58.9225,110.23277179487178,-58.9225,110.23277179487178,2017,Friday,June
65,"[28, 80, 53]",From Paris with Love,From Paris with Love,2013-03-01,Jack the Giant Slayer,195000000.0,65187603.0,197687603.0,-66.57046,1.3782579487179487,-66.57046,1.3782579487179487,2013,Friday,March
66,"[28, 16, 9648]",Batman: Under the Red Hood,Batman: Under the Red Hood,2015-04-03,Furious 7,190000000.0,353007020.0,1518722794.0,85.79316842105264,699.3277863157895,85.79316842105264,699.3277863157895,2015,Friday,April
67,"[16, 12, 14, 10751]",Arthur 3: la guerre des deux mondes,Arthur 3: The War of the Two Worlds,2013-05-16,Star Trek Into Darkness,190000000.0,228778661.0,467381584.0,20.40982157894737,145.99030736842104,20.40982157894737,145.99030736842104,2013,Thursday,May
68,"[35, 10751, 14]",Tooth Fairy,Tooth Fairy,2013-06-21,World War Z,190000000.0,202359711.0,531514650.0,6.505111052631579,179.74455263157896,6.505111052631579,179.74455263157896,2013,Friday,June
